42 A
A B 724
A C 539
A D 731
A E 915
A F 76
A G 495
B A 429
B C 766
B D 460
B E 134
B F 78
B G 807
C A 874
C B 421
C D 126
C E 245
C F 840
C G 12
D A 316
D B 860
D C 868
D E 189
D F 507
D G 454
E A 348
E B 994
E C 456
E D 734
E F 671
E G 288
F A 216
F B 981
F C 338
F D 190
F E 194
F G 57
G A 121
G B 705
G C 13
G D 292
G E 870
G F 57

20 N
L V 909
N R 117
L N 695
V N 76
R H 851
L R 34
V H 111
H N 152
V R 900
N L 554
R N 324
R V 250
H R 871
N H 603
L H 978
H V 581
N V 141
R L 415
V L 141
H L 496


20 L
L P 780
T P 90
P L 76
M T 300
L H 218
L T 994
P H 851
M P 648
H T 591
H M 246
T M 194
T H 186
H L 328
P M 723
P T 65
H P 807
L M 706
T L 75
M L 133
M H 382

42 A
A B 724
A C 539
A D 731
A E 915
A F 76
A G 495
B A 429
B C 766
B D 460
B E 134
B F 78
B G 807
C A 874
C B 421
C D 126
C E 245
C F 840
C G 12
D A 316
D B 860
D C 868
D E 189
D F 507
D G 454
E A 348
E B 994
E C 456
E D 734
E F 671
E G 288
F A 216
F B 981
F C 338
F D 190
F E 194
F G 57
G A 121
G B 705
G C 13
G D 292
G E 870
G F 57
